cellI,x,y,z,S,Ux,Uy,Uz
20402,0.025625,0.01044847087,0.000125,6.25e-08,0,0,0
20403,0.025875,0.01044847087,0.000125,6.25e-08,0,0,0
20404,0.026125,0.01044847087,0.000125,6.25e-08,0,0,0
20405,0.026375,0.01044847087,0.000125,6.25e-08,0,0,0
20406,0.026625,0.01044847087,0.000125,6.25e-08,0,0,0
20407,0.026875,0.01044847087,0.000125,6.25e-08,0,0,0
20408,0.027125,0.01044847087,0.000125,6.25e-08,0,0,0
20409,0.027375,0.01044847087,0.000125,6.25e-08,0,0,0
20410,0.027625,0.01044847087,0.000125,6.25e-08,0,0,0
20411,0.027875,0.01044847087,0.000125,6.25e-08,0,0,0
20412,0.028125,0.01044847087,0.000125,6.25e-08,0,0,0
20413,0.028375,0.01044847087,0.000125,6.25e-08,0,0,0
20414,0.028625,0.01044847087,0.000125,6.25e-08,0,0,0
20415,0.028875,0.01044847087,0.000125,6.25e-08,0,0,0
20416,0.029125,0.01044847087,0.000125,6.25e-08,0,0,0
20417,0.029375,0.01044847087,0.000125,6.25e-08,0,0,0
20418,0.029625,0.01044847087,0.000125,6.25e-08,0,0,0
20419,0.029875,0.01044847087,0.000125,6.25e-08,0,0,0
20420,0.030125,0.01044847087,0.000125,6.25e-08,0,0,0
20421,0.030375,0.01044847087,0.000125,6.25e-08,0,0,0
20422,0.030625,0.01044847087,0.000125,6.25e-08,0,0,0
20423,0.030875,0.01044847087,0.000125,6.25e-08,0,0,0
20424,0.031125,0.01044847087,0.000125,6.25e-08,0,0,0
20425,0.031375,0.01044847087,0.000125,6.25e-08,0,0,0
20426,0.031625,0.01044847087,0.000125,6.25e-08,0,0,0
20427,0.031875,0.01044847087,0.000125,6.25e-08,0,0,0
20428,0.032125,0.01044847087,0.000125,6.25e-08,0,0,0
20429,0.032375,0.01044847087,0.000125,6.25e-08,0,0,0
20430,0.032625,0.01044847087,0.000125,6.25e-08,0,0,0
20431,0.032875,0.01044847087,0.000125,6.25e-08,0,0,0
20432,0.033125,0.01044847087,0.000125,6.25e-08,0,0,0
20433,0.033375,0.01044847087,0.000125,6.25e-08,0,0,0
20434,0.033625,0.01044847087,0.000125,6.25e-08,0,0,0
20435,0.033875,0.01044847087,0.000125,6.25e-08,0,0,0
20436,0.034125,0.01044847087,0.000125,6.25e-08,0,0,0
20437,0.034375,0.01044847087,0.000125,6.25e-08,0,0,0
20438,0.034625,0.01044847087,0.000125,6.25e-08,0,0,0
20439,0.034875,0.01044847087,0.000125,6.25e-08,0,0,0
20440,0.035125,0.01044847087,0.000125,6.25e-08,0,0,0
20441,0.035375,0.01044847087,0.000125,6.25e-08,0,0,0
20442,0.035625,0.01044847087,0.000125,6.25e-08,0,0,0
20443,0.035875,0.01044847087,0.000125,6.25e-08,0,0,0
20444,0.036125,0.01044847087,0.000125,6.25e-08,0,0,0
20445,0.036375,0.01044847087,0.000125,6.25e-08,0,0,0
20446,0.036625,0.01044847087,0.000125,6.25e-08,0,0,0
20447,0.036875,0.01044847087,0.000125,6.25e-08,0,0,0
20448,0.037125,0.01044847087,0.000125,6.25e-08,0,0,0
20449,0.037375,0.01044847087,0.000125,6.25e-08,0,0,0
20450,0.037625,0.01044847087,0.000125,6.25e-08,0,0,0
20451,0.037875,0.01044847087,0.000125,6.25e-08,0,0,0
20452,0.038125,0.01044847087,0.000125,6.25e-08,0,0,0
20453,0.038375,0.01044847087,0.000125,6.25e-08,0,0,0
