cellI,x,y,z,V,Ux,Uy,Uz
196,0.024125,0.000375,0.000125,1.5625e-11,99.51305041,-0.8370539669,0
197,0.024375,0.000375,0.000125,1.5625e-11,99.99333136,-1.202129373,0
198,0.024625,0.000375,0.000125,1.5625e-11,100.5567263,-1.79460942,0
199,0.024875,0.000375,0.000125,1.5625e-11,101.1858551,-2.683523418,0
200,0.000125,0.000625,0.000125,1.5625e-11,100.0024401,0.01815421525,0
201,0.000375,0.000625,0.000125,1.5625e-11,100.011806,0.04113033977,0
202,0.000625,0.000625,0.000125,1.5625e-11,100.0250912,0.0565804111,0
203,0.000875,0.000625,0.000125,1.5625e-11,100.03799,0.06941732434,0
204,0.001125,0.000625,0.000125,1.5625e-11,100.0495904,0.08054794679,0
205,0.001375,0.000625,0.000125,1.5625e-11,100.0605653,0.09017817204,0
206,0.001625,0.000625,0.000125,1.5625e-11,100.0709601,0.09846264901,0
207,0.001875,0.000625,0.000125,1.5625e-11,100.0807547,0.1057404494,0
208,0.002125,0.000625,0.000125,1.5625e-11,100.0899368,0.1122071692,0
209,0.002375,0.000625,0.000125,1.5625e-11,100.0987731,0.1181304788,0
210,0.002625,0.000625,0.000125,1.5625e-11,100.1071464,0.1234969792,0
211,0.002875,0.000625,0.000125,1.5625e-11,100.1154232,0.1282886228,0
212,0.003125,0.000625,0.000125,1.5625e-11,100.1238507,0.1326635306,0
213,0.003375,0.000625,0.000125,1.5625e-11,100.1315748,0.13675581,0
214,0.003625,0.000625,0.000125,1.5625e-11,100.1389493,0.140588357,0
215,0.003875,0.000625,0.000125,1.5625e-11,100.1460946,0.1441703039,0
216,0.004125,0.000625,0.000125,1.5625e-11,100.1529992,0.1475147846,0
217,0.004375,0.000625,0.000125,1.5625e-11,100.1596682,0.1506328995,0
218,0.004625,0.000625,0.000125,1.5625e-11,100.1661186,0.15352991,0
219,0.004875,0.000625,0.000125,1.5625e-11,100.1723615,0.1562978071,0
220,0.005125,0.000625,0.000125,1.5625e-11,100.1783072,0.158948049,0
221,0.005375,0.000625,0.000125,1.5625e-11,100.1841017,0.1613931388,0
222,0.005625,0.000625,0.000125,1.5625e-11,100.1897008,0.1636328317,0
223,0.005875,0.000625,0.000125,1.5625e-11,100.1951071,0.1656865447,0
224,0.006125,0.000625,0.000125,1.5625e-11,100.2003335,0.1675735563,0
225,0.006375,0.000625,0.000125,1.5625e-11,100.2053801,0.1693129942,0
226,0.006625,0.000625,0.000125,1.5625e-11,100.2102352,0.1709195646,0
227,0.006875,0.000625,0.000125,1.5625e-11,100.2148793,0.172413028,0
228,0.007125,0.000625,0.000125,1.5625e-11,100.2192898,0.1738290059,0
229,0.007375,0.000625,0.000125,1.5625e-11,100.2234764,0.1751406586,0
230,0.007625,0.000625,0.000125,1.5625e-11,100.2274735,0.1762929544,0
231,0.007875,0.000625,0.000125,1.5625e-11,100.2312954,0.1772997081,0
232,0.008125,0.000625,0.000125,1.5625e-11,100.2349259,0.178194722,0
233,0.008375,0.000625,0.000125,1.5625e-11,100.2383474,0.1789787905,0
234,0.008625,0.000625,0.000125,1.5625e-11,100.2415546,0.1797177599,0
235,0.008875,0.000625,0.000125,1.5625e-11,100.2445527,0.1803737733,0
236,0.009125,0.000625,0.000125,1.5625e-11,100.2473362,0.1808725711,0
237,0.009375,0.000625,0.000125,1.5625e-11,100.2498834,0.1812963518,0
238,0.009625,0.000625,0.000125,1.5625e-11,100.2521718,0.1816785012,0
239,0.009875,0.000625,0.000125,1.5625e-11,100.2541976,0.1820104621,0
240,0.010125,0.000625,0.000125,1.5625e-11,100.2559689,0.182285404,0
241,0.010375,0.000625,0.000125,1.5625e-11,100.2574928,0.1825032167,0
242,0.010625,0.000625,0.000125,1.5625e-11,100.2587718,0.1826670868,0
243,0.010875,0.000625,0.000125,1.5625e-11,100.2598066,0.1827791698,0
244,0.011125,0.000625,0.000125,1.5625e-11,100.2605994,0.1828410735,0
245,0.011375,0.000625,0.000125,1.5625e-11,100.261144,0.1828541229,0
246,0.011625,0.000625,0.000125,1.5625e-11,100.2614755,0.1828216191,0
247,0.011875,0.000625,0.000125,1.5625e-11,100.2615227,0.1827462817,0
248,0.012125,0.000625,0.000125,1.5625e-11,100.2613565,0.1826272688,0
249,0.012375,0.000625,0.000125,1.5625e-11,100.2609546,0.1824622728,0
250,0.012625,0.000625,0.000125,1.5625e-11,100.260317,0.1822421005,0
251,0.012875,0.000625,0.000125,1.5625e-11,100.2594496,0.1819618891,0
252,0.013125,0.000625,0.000125,1.5625e-11,100.2583627,0.1816281376,0
253,0.013375,0.000625,0.000125,1.5625e-11,100.257067,0.1812472584,0
254,0.013625,0.000625,0.000125,1.5625e-11,100.2555711,0.1808195445,0
255,0.013875,0.000625,0.000125,1.5625e-11,100.2538828,0.1803442003,0
256,0.014125,0.000625,0.000125,1.5625e-11,100.2520129,0.1798274539,0
257,0.014375,0.000625,0.000125,1.5625e-11,100.2499725,0.1792724366,0
258,0.014625,0.000625,0.000125,1.5625e-11,100.2477697,0.178668664,0
259,0.014875,0.000625,0.000125,1.5625e-11,100.2454143,0.1780013852,0
260,0.015125,0.000625,0.000125,1.5625e-11,100.2429222,0.1772598969,0
261,0.015375,0.000625,0.000125,1.5625e-11,100.2403137,0.1764361249,0
262,0.015625,0.000625,0.000125,1.5625e-11,100.237612,0.1755210895,0
263,0.015875,0.000625,0.000125,1.5625e-11,100.234844,0.1745036156,0
264,0.016125,0.000625,0.000125,1.5625e-11,100.2320413,0.1733703065,0
265,0.016375,0.000625,0.000125,1.5625e-11,100.2292408,0.1721054393,0
266,0.016625,0.000625,0.000125,1.5625e-11,100.2264854,0.1706906751,0
267,0.016875,0.000625,0.000125,1.5625e-11,100.2238253,0.1691046866,0
268,0.017125,0.000625,0.000125,1.5625e-11,100.2213166,0.1673230943,0
269,0.017375,0.000625,0.000125,1.5625e-11,100.2190279,0.165321754,0
270,0.017625,0.000625,0.000125,1.5625e-11,100.2170424,0.1630733235,0
271,0.017875,0.000625,0.000125,1.5625e-11,100.215458,0.1605638111,0
272,0.018125,0.000625,0.000125,1.5625e-11,100.2143887,0.1577013699,0
273,0.018375,0.000625,0.000125,1.5625e-11,100.2139626,0.1542830583,0
274,0.018625,0.000625,0.000125,1.5625e-11,100.2143294,0.1503478389,0
275,0.018875,0.000625,0.000125,1.5625e-11,100.215669,0.1458219882,0
276,0.019125,0.000625,0.000125,1.5625e-11,100.2181932,0.1405941604,0
