cellI,x,y,z,V,Ux,Uy,Uz
278,0.019625,0.000625,0.000125,1.5625e-11,100.2154987,0.1333853154,0
279,0.019875,0.000625,0.000125,1.5625e-11,100.2211464,0.1262004023,0
280,0.020125,0.000625,0.000125,1.5625e-11,100.2289189,0.1177934871,0
281,0.020375,0.000625,0.000125,1.5625e-11,100.2392433,0.1079253987,0
282,0.020625,0.000625,0.000125,1.5625e-11,100.2526314,0.09633896892,0
283,0.020875,0.000625,0.000125,1.5625e-11,100.2696883,0.08270996261,0
284,0.021125,0.000625,0.000125,1.5625e-11,100.2911183,0.06659225559,0
285,0.021375,0.000625,0.000125,1.5625e-11,100.3177524,0.04735580854,0
286,0.021625,0.000625,0.000125,1.5625e-11,100.3506059,0.02424418828,0
287,0.021875,0.000625,0.000125,1.5625e-11,100.391001,-0.003691149448,0
288,0.022125,0.000625,0.000125,1.5625e-11,100.4404594,-0.03762744092,0
289,0.022375,0.000625,0.000125,1.5625e-11,100.5008905,-0.07938989712,0
290,0.022625,0.000625,0.000125,1.5625e-11,100.5747891,-0.1316878948,0
291,0.022875,0.000625,0.000125,1.5625e-11,100.6651696,-0.1974410737,0
292,0.023125,0.000625,0.000125,1.5625e-11,100.7750482,-0.2804237184,0
293,0.023375,0.000625,0.000125,1.5625e-11,100.9087411,-0.3858511955,0
294,0.023625,0.000625,0.000125,1.5625e-11,101.0692103,-0.521443652,0
295,0.023875,0.000625,0.000125,1.5625e-11,101.2600072,-0.7013093414,0
296,0.024125,0.000625,0.000125,1.5625e-11,101.4861364,-0.9450222936,0
297,0.024375,0.000625,0.000125,1.5625e-11,101.7328014,-1.277581555,0
298,0.024625,0.000625,0.000125,1.5625e-11,101.9707213,-1.747509479,0
299,0.024875,0.000625,0.000125,1.5625e-11,102.2159138,-2.385874419,0
300,0.000125,0.000875,0.000125,1.5625e-11,100.0011177,0.01155493809,0
301,0.000375,0.000875,0.000125,1.5625e-11,100.0065209,0.03229393777,0
302,0.000625,0.000875,0.000125,1.5625e-11,100.0160772,0.04901737451,0
303,0.000875,0.000875,0.000125,1.5625e-11,100.0266031,0.06269576581,0
304,0.001125,0.000875,0.000125,1.5625e-11,100.0368119,0.07420378173,0
305,0.001375,0.000875,0.000125,1.5625e-11,100.046943,0.08405015572,0
306,0.001625,0.000875,0.000125,1.5625e-11,100.0570985,0.09251300797,0
307,0.001875,0.000875,0.000125,1.5625e-11,100.0671648,0.09988644813,0
308,0.002125,0.000875,0.000125,1.5625e-11,100.0770501,0.1063793928,0
309,0.002375,0.000875,0.000125,1.5625e-11,100.0867725,0.1121591589,0
310,0.002625,0.000875,0.000125,1.5625e-11,100.0963826,0.1173369608,0
311,0.002875,0.000875,0.000125,1.5625e-11,100.1058206,0.1219395552,0
312,0.003125,0.000875,0.000125,1.5625e-11,100.1151152,0.1261224082,0
313,0.003375,0.000875,0.000125,1.5625e-11,100.1243361,0.1300356309,0
314,0.003625,0.000875,0.000125,1.5625e-11,100.1335449,0.1336741423,0
315,0.003875,0.000875,0.000125,1.5625e-11,100.1427242,0.1370074809,0
316,0.004125,0.000875,0.000125,1.5625e-11,100.1518433,0.1400413904,0
317,0.004375,0.000875,0.000125,1.5625e-11,100.1608983,0.1428037542,0
318,0.004625,0.000875,0.000125,1.5625e-11,100.169889,0.145320901,0
319,0.004875,0.000875,0.000125,1.5625e-11,100.1788224,0.1476242269,0
320,0.005125,0.000875,0.000125,1.5625e-11,100.1877263,0.1497297888,0
321,0.005375,0.000875,0.000125,1.5625e-11,100.1965931,0.1516310884,0
322,0.005625,0.000875,0.000125,1.5625e-11,100.2054181,0.1533549767,0
323,0.005875,0.000875,0.000125,1.5625e-11,100.2141777,0.1549275174,0
324,0.006125,0.000875,0.000125,1.5625e-11,100.2229159,0.1563728338,0
325,0.006375,0.000875,0.000125,1.5625e-11,100.2315847,0.1576926598,0
326,0.006625,0.000875,0.000125,1.5625e-11,100.2402586,0.1589082086,0
327,0.006875,0.000875,0.000125,1.5625e-11,100.2488406,0.1600035537,0
328,0.007125,0.000875,0.000125,1.5625e-11,100.2574911,0.1609452535,0
329,0.007375,0.000875,0.000125,1.5625e-11,100.2663179,0.1617574245,0
330,0.007625,0.000875,0.000125,1.5625e-11,100.2749596,0.1624984897,0
331,0.007875,0.000875,0.000125,1.5625e-11,100.2834739,0.1631745466,0
332,0.008125,0.000875,0.000125,1.5625e-11,100.2918886,0.1637812734,0
333,0.008375,0.000875,0.000125,1.5625e-11,100.3002059,0.1643224505,0
334,0.008625,0.000875,0.000125,1.5625e-11,100.3083895,0.1647852128,0
335,0.008875,0.000875,0.000125,1.5625e-11,100.316541,0.1652157178,0
336,0.009125,0.000875,0.000125,1.5625e-11,100.3244538,0.165657672,0
337,0.009375,0.000875,0.000125,1.5625e-11,100.3322684,0.1660591139,0
338,0.009625,0.000875,0.000125,1.5625e-11,100.3400433,0.1663905619,0
339,0.009875,0.000875,0.000125,1.5625e-11,100.3477587,0.1666563229,0
340,0.010125,0.000875,0.000125,1.5625e-11,100.355415,0.1668645903,0
341,0.010375,0.000875,0.000125,1.5625e-11,100.3630119,0.1670220874,0
342,0.010625,0.000875,0.000125,1.5625e-11,100.3705458,0.1671340709,0
343,0.010875,0.000875,0.000125,1.5625e-11,100.3780159,0.1672035444,0
344,0.011125,0.000875,0.000125,1.5625e-11,100.3854196,0.1672333299,0
345,0.011375,0.000875,0.000125,1.5625e-11,100.3927546,0.1672251463,0
346,0.011625,0.000875,0.000125,1.5625e-11,100.4000202,0.1671846385,0
347,0.011875,0.000875,0.000125,1.5625e-11,100.4072181,0.1671170403,0
