# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
0                 	N/A	N/A	N/A	N/A
74                	2.0929138698e-03	1.1549805736e-01	5.5398835536e-02	2.5195050175e-02	3.9487200164e-05
75                	2.0429789389e-03	1.2208757518e-01	5.4780930893e-02	2.5380121012e-02	3.8081524119e-05
76                	2.0076547592e-03	1.2376443586e-01	5.4486158369e-02	2.5316414703e-02	3.4876913965e-05
77                	1.9678449201e-03	1.2642743877e-01	5.4067678840e-02	2.5424981348e-02	3.2754029493e-05
78                	1.8968126791e-03	1.2026869828e-01	5.4406011339e-02	2.5444208015e-02	3.0052501726e-05
79                	1.8143994305e-03	1.1551730615e-01	5.4573675702e-02	2.5574978668e-02	2.8457951028e-05
80                	1.7190215051e-03	1.0489982283e-01	5.4684208134e-02	2.5599994912e-02	2.7190523851e-05
81                	1.6097890650e-03	9.9960139959e-02	5.4351233002e-02	2.5789089031e-02	2.7091680257e-05
82                	1.5262047076e-03	9.2132036028e-02	5.3922236098e-02	2.5663895901e-02	2.6561676888e-05
83                	1.4612267448e-03	9.2221248380e-02	5.2918245271e-02	2.5764430757e-02	2.6693465963e-05
84                	1.4705154693e-03	9.1712787797e-02	5.1711181872e-02	2.5704516746e-02	2.6268538632e-05
85                	1.4335429990e-03	9.6174758762e-02	5.0215014500e-02	2.5755156335e-02	2.6218390407e-05
86                	1.4456696481e-03	9.7269135851e-02	4.9014392800e-02	2.5719570582e-02	2.5660186901e-05
87                	1.3956218800e-03	1.0035807265e-01	4.7856221647e-02	2.5784176759e-02	2.5454836419e-05
88                	1.3864009915e-03	9.8729146307e-02	4.6825950258e-02	2.5705172122e-02	2.4952585465e-05
89                	1.3337348318e-03	9.7707863132e-02	4.5857047524e-02	2.5938648813e-02	2.4674590046e-05
90                	1.3052006884e-03	9.2744813961e-02	4.5024516540e-02	2.6047542161e-02	2.3895554047e-05
91                	1.2295743634e-03	8.9244739224e-02	4.4293894070e-02	2.6226484162e-02	2.3527220376e-05
92                	1.1909910497e-03	8.4174371179e-02	4.3709820937e-02	2.6306120766e-02	2.2592710663e-05
93                	1.1134635158e-03	8.2480304523e-02	4.3299244919e-02	2.6470243723e-02	2.2047287667e-05
94                	1.0994310925e-03	7.9454488803e-02	4.2867217117e-02	2.6568259054e-02	2.0873255246e-05
95                	1.0484299292e-03	8.1574685845e-02	4.2547345221e-02	2.6661807935e-02	1.9962891596e-05
96                	1.0493664917e-03	7.9402319039e-02	4.1996710183e-02	2.6701980544e-02	1.9075440484e-05
97                	1.0157521552e-03	8.2902672478e-02	4.1369378679e-02	2.6775598863e-02	1.8385447131e-05
98                	1.0235968322e-03	8.0491897488e-02	4.0751730089e-02	2.6822346083e-02	1.7764924057e-05
99                	9.8973250442e-04	8.2814649046e-02	4.0149393926e-02	2.7003160550e-02	1.7590556017e-05
100               	9.8410737208e-04	7.9511934682e-02	3.9493062072e-02	2.6991056433e-02	1.7172892220e-05
101               	9.4269228560e-04	8.0771693785e-02	3.8864118166e-02	2.7184546902e-02	1.7094704420e-05
102               	9.2191364880e-04	7.7644091210e-02	3.8376639341e-02	2.7098889850e-02	1.6474231440e-05
103               	8.7987561828e-04	7.7905204028e-02	3.7869383164e-02	2.7362279612e-02	1.6095888584e-05
104               	8.6076561417e-04	7.5116172037e-02	3.7557942558e-02	2.7289093743e-02	1.5230422775e-05
105               	8.1951275618e-04	7.4571010200e-02	3.6996952599e-02	2.7373503759e-02	1.4668654508e-05
106               	8.0764328823e-04	7.1700762826e-02	3.6645397176e-02	2.7330456548e-02	1.3575853714e-05
107               	7.7357758257e-04	7.1041875521e-02	3.6140724713e-02	2.7553385608e-02	1.3057192100e-05
108               	7.7218266527e-04	6.8527251729e-02	3.5917163215e-02	2.7357311919e-02	1.2316045744e-05
109               	7.4054265282e-04	6.8115509822e-02	3.5483261623e-02	2.7629885078e-02	1.2224787957e-05
110               	7.4192643412e-04	6.5751442148e-02	3.5099017009e-02	2.7621418621e-02	1.1808071865e-05
111               	7.1076613353e-04	6.5810780547e-02	3.4493833051e-02	2.7734793038e-02	1.1993861533e-05
112               	7.1157945854e-04	6.3707279703e-02	3.4055727216e-02	2.7753911419e-02	1.1795477947e-05
113               	6.8434685267e-04	6.4028095196e-02	3.3514887972e-02	2.7962942046e-02	1.2168247998e-05
114               	6.8791631650e-04	6.2538153909e-02	3.3179817266e-02	2.7864663122e-02	1.1993231561e-05
115               	6.6505420731e-04	6.2674616540e-02	3.2741250750e-02	2.8020564100e-02	1.2272936311e-05
116               	6.6755648852e-04	6.1335211152e-02	3.2537558052e-02	2.7894888132e-02	1.1824830179e-05
117               	6.4118903587e-04	6.1808609512e-02	3.2174936723e-02	2.8121329812e-02	1.1777354524e-05
118               	6.3906283159e-04	5.9975569764e-02	3.1918723388e-02	2.8037662679e-02	1.1011285318e-05
119               	6.1189620066e-04	6.1152875325e-02	3.1423957914e-02	2.8172349540e-02	1.0572513865e-05
120               	6.0682199245e-04	5.8579342500e-02	3.0986542713e-02	2.8056779140e-02	9.8018924833e-06
121               	5.8275574851e-04	6.0022338413e-02	3.0419793753e-02	2.8131145285e-02	9.4452176464e-06
122               	5.7913864336e-04	5.6709204310e-02	2.9930847098e-02	2.8111260762e-02	8.7370781701e-06
123               	5.5597264761e-04	5.7959066120e-02	2.9489553193e-02	2.8263856214e-02	8.5922335768e-06
124               	5.5608533343e-04	5.4330343401e-02	2.8973685552e-02	2.8167726869e-02	7.9503830812e-06
125               	5.3304518347e-04	5.5340881169e-02	2.8454915948e-02	2.8312877496e-02	7.8853675017e-06
126               	5.3232122039e-04	5.1985071823e-02	2.7937614308e-02	2.8252955427e-02	7.2737682035e-06
127               	5.1089599640e-04	5.3130939699e-02	2.7461932176e-02	2.8300471896e-02	7.2442643622e-06
128               	5.0871625763e-04	5.0483849026e-02	2.7058172597e-02	2.8269437703e-02	6.7513764047e-06
129               	4.9071779668e-04	5.1475985449e-02	2.6722850860e-02	2.8345610914e-02	6.8782183696e-06
130               	4.8701797473e-04	4.9392062581e-02	2.6398897405e-02	2.8312781119e-02	6.4917374795e-06
131               	4.6925702725e-04	4.9877261579e-02	2.6131012050e-02	2.8428571564e-02	6.5374812791e-06
132               	4.6384478586e-04	4.7965026104e-02	2.5910525206e-02	2.8319737586e-02	6.1016859298e-06
133               	4.4594498067e-04	4.8071921743e-02	2.5603414652e-02	2.8506352551e-02	6.1029160352e-06
134               	4.4284497033e-04	4.6433994569e-02	2.5375256786e-02	2.8366537782e-02	5.8372557442e-06
135               	4.2542461325e-04	4.6456569719e-02	2.4942041974e-02	2.8494761014e-02	5.9487794847e-06
136               	4.2468509112e-04	4.4930791100e-02	2.4702520376e-02	2.8504906244e-02	5.8422652601e-06
137               	4.0712954910e-04	4.4964973278e-02	2.4194341825e-02	2.8581201189e-02	5.9413610622e-06
138               	4.0981844648e-04	4.3571182331e-02	2.4037656602e-02	2.8513466510e-02	5.7379150459e-06
139               	3.9378789731e-04	4.3564908038e-02	2.3621245575e-02	2.8688412820e-02	5.7534744750e-06
140               	3.9919098306e-04	4.2395039042e-02	2.3505915749e-02	2.8611590448e-02	5.5141637162e-06
141               	3.8342761179e-04	4.2339626809e-02	2.3108722173e-02	2.8746498401e-02	5.6025572719e-06
142               	3.8778653327e-04	4.1205002069e-02	2.3049970796e-02	2.8665266798e-02	5.3623803310e-06
143               	3.7080236719e-04	4.1241459010e-02	2.2676573212e-02	2.8798527162e-02	5.4399334171e-06
144               	3.7275931734e-04	3.9965476309e-02	2.2604452939e-02	2.8679619703e-02	5.1640015340e-06
145               	3.5642276331e-04	4.0028819096e-02	2.2196171906e-02	2.8880743317e-02	5.2063473610e-06
146               	3.5735191619e-04	3.8766851543e-02	2.2040848561e-02	2.8770005790e-02	4.9578038284e-06
147               	3.4422303740e-04	3.9110012105e-02	2.1654771988e-02	2.8870827270e-02	4.9876010114e-06
148               	3.4565521493e-04	3.7859932834e-02	2.1451453777e-02	2.8872456407e-02	4.7514687928e-06
149               	3.3583839374e-04	3.8620124552e-02	2.1113234099e-02	2.8983294381e-02	4.8529127413e-06
150               	3.3581328511e-04	3.7065062439e-02	2.0904136082e-02	2.8915268028e-02	4.5984063099e-06
