# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
118               	1.2910205787e-03	1.0905014863e-02	2.6033677699e-02	4.9028250945e-04	5.4183342976e-05
119               	1.2591579488e-03	1.0793985113e-02	2.5754085698e-02	4.6305998403e-04	5.1269658338e-05
120               	1.2273532415e-03	1.0684448370e-02	2.5490554042e-02	4.3662177489e-04	4.8447799981e-05
121               	1.1908923588e-03	1.0520501324e-02	2.5206047216e-02	4.0908314456e-04	4.5393232468e-05
122               	1.1548589691e-03	1.0320492635e-02	2.4906304173e-02	3.8360202405e-04	4.2633847438e-05
123               	1.1192536483e-03	1.0149328580e-02	2.4598617442e-02	3.5938433770e-04	4.0017680205e-05
124               	1.0898285536e-03	9.9955995736e-03	2.4326951478e-02	3.3832246891e-04	3.7697963456e-05
125               	1.0652714290e-03	9.8635950141e-03	2.4081506467e-02	3.1848822821e-04	3.5498423988e-05
126               	1.0437289988e-03	9.8156643726e-03	2.3865607986e-02	2.9901078307e-04	3.3317657540e-05
127               	1.0186180976e-03	9.6883938546e-03	2.3635693934e-02	2.7982746979e-04	3.1345050523e-05
128               	9.9397381324e-04	9.5713339471e-03	2.3396482071e-02	2.6146810875e-04	2.9319703598e-05
129               	9.7071257128e-04	9.4217450085e-03	2.3134261843e-02	2.4530440927e-04	2.7493186254e-05
130               	9.4924400657e-04	9.3317272607e-03	2.2858359385e-02	2.3021737106e-04	2.5716486384e-05
131               	9.2734386509e-04	9.1341257186e-03	2.2577288346e-02	2.1054505709e-04	2.3405545152e-05
132               	9.0589958127e-04	8.9816755099e-03	2.2330782448e-02	1.9763741529e-04	2.2051006981e-05
133               	8.8692639220e-04	8.8532111151e-03	2.2109297270e-02	1.8783487307e-04	2.0920328756e-05
134               	8.6830625341e-04	8.7696417151e-03	2.1899529293e-02	1.7661705607e-04	1.9491265995e-05
135               	8.4941410590e-04	8.6554406970e-03	2.1702343268e-02	1.6411462517e-04	1.8072665568e-05
136               	8.3192138986e-04	8.5233426876e-03	2.1505797483e-02	1.5425328366e-04	1.6970544977e-05
137               	8.1528519055e-04	8.4349335432e-03	2.1293729184e-02	1.4670788452e-04	1.6013744959e-05
138               	8.0148225539e-04	8.2848628542e-03	2.1091938019e-02	1.3973023202e-04	1.5182820482e-05
139               	7.8811038195e-04	8.1166303052e-03	2.0875672678e-02	1.3171891959e-04	1.4209658148e-05
140               	7.7382459262e-04	8.0032132439e-03	2.0665674691e-02	1.2430413347e-04	1.3342444763e-05
141               	7.6012963836e-04	7.9217686508e-03	2.0457793763e-02	1.1822416757e-04	1.2690981589e-05
142               	7.4530952302e-04	7.8296360446e-03	2.0223635541e-02	1.1325344462e-04	1.2139959121e-05
143               	7.3019668472e-04	7.8143402126e-03	2.0000561796e-02	1.0851942008e-04	1.1630177253e-05
144               	7.1541316915e-04	7.7415743606e-03	1.9778870103e-02	1.0212595615e-04	1.0885202237e-05
