cellI,x,y,z,S,omega,k,nut
21616,0.129125,0,0.000125,6.25e-08,231573.1088,27.61698502,2.077324106e-05
21617,0.129375,0,0.000125,6.25e-08,232411.1489,27.77043296,2.084262121e-05
21618,0.129625,0,0.000125,6.25e-08,233489.7026,27.96823868,2.09318752e-05
21619,0.129875,0,0.000125,6.25e-08,234715.1143,28.19341049,2.103323064e-05
21620,0.130125,0,0.000125,6.25e-08,236010.6063,28.43195598,2.114032324e-05
21621,0.130375,0,0.000125,6.25e-08,237318.5732,28.67331157,2.124838569e-05
21622,0.130625,0,0.000125,6.25e-08,238596.969,28.9097043,2.135394584e-05
21623,0.130875,0,0.000125,6.25e-08,239816.6952,29.13569939,2.145460729e-05
21624,0.131125,0,0.000125,6.25e-08,240958.9754,29.34774123,2.154882954e-05
21625,0.131375,0,0.000125,6.25e-08,242010.5837,29.54328781,2.163553199e-05
21626,0.131625,0,0.000125,6.25e-08,242964.566,29.72095764,2.1714152e-05
21627,0.131875,0,0.000125,6.25e-08,243820.2342,29.88053999,2.178464275e-05
21628,0.132125,0,0.000125,6.25e-08,244577.1282,30.02187533,2.184697526e-05
21629,0.132375,0,0.000125,6.25e-08,245238.5096,30.14550887,2.190142582e-05
21630,0.132625,0,0.000125,6.25e-08,245808.9576,30.25224346,2.194837786e-05
21631,0.132875,0,0.000125,6.25e-08,246293.7961,30.34303205,2.198827477e-05
21632,0.133125,0,0.000125,6.25e-08,246698.8196,30.41892547,2.202159758e-05
21633,0.133375,0,0.000125,6.25e-08,247030.0584,30.48102726,2.204884569e-05
21634,0.133625,0,0.000125,6.25e-08,247293.5697,30.53045316,2.207051981e-05
21635,0.133875,0,0.000125,6.25e-08,247495.2925,30.56830269,2.208711019e-05
21636,0.134125,0,0.000125,6.25e-08,247641.1162,30.59567088,2.209910242e-05
21637,0.134375,0,0.000125,6.25e-08,247735.9401,30.61347057,2.210690004e-05
21638,0.134625,0,0.000125,6.25e-08,247784.4051,30.62256907,2.211088528e-05
21639,0.134875,0,0.000125,6.25e-08,247791.4257,30.62388713,2.211146251e-05
21640,0.135125,0,0.000125,6.25e-08,247761.6865,30.61830395,2.210901703e-05
21641,0.135375,0,0.000125,6.25e-08,247699.5306,30.60663572,2.21039059e-05
21642,0.135625,0,0.000125,6.25e-08,247608.8179,30.58960862,2.209644632e-05
21643,0.135875,0,0.000125,6.25e-08,247492.9043,30.56785453,2.20869139e-05
21644,0.136125,0,0.000125,6.25e-08,247355.3058,30.54203559,2.207559756e-05
21645,0.136375,0,0.000125,6.25e-08,247199.324,30.51277359,2.206276843e-05
21646,0.136625,0,0.000125,6.25e-08,247027.4969,30.4805469,2.204863505e-05
21647,0.136875,0,0.000125,6.25e-08,246842.1659,30.44579676,2.203338982e-05
21648,0.137125,0,0.000125,6.25e-08,246645.493,30.40893048,2.201721041e-05
21649,0.137375,0,0.000125,6.25e-08,246439.5123,30.37033109,2.200026399e-05
21650,0.137625,0,0.000125,6.25e-08,246225.7545,30.3302869,2.198267624e-05
21651,0.137875,0,0.000125,6.25e-08,246005.8282,30.28910055,2.19645793e-05
21652,0.138125,0,0.000125,6.25e-08,245781.1771,30.24704341,2.194609172e-05
21653,0.138375,0,0.000125,6.25e-08,245553.073,30.2043544,2.19273181e-05
21654,0.138625,0,0.000125,6.25e-08,245322.6465,30.16124568,2.190835148e-05
21655,0.138875,0,0.000125,6.25e-08,245090.9098,30.11790696,2.188927522e-05
21656,0.139125,0,0.000125,6.25e-08,244858.7395,30.07450241,2.187016155e-05
21657,0.139375,0,0.000125,6.25e-08,244626.9723,30.03118848,2.185107933e-05
21658,0.139625,0,0.000125,6.25e-08,244396.352,29.98810403,2.183208973e-05
21659,0.139875,0,0.000125,6.25e-08,244167.5096,29.9453667,2.181324465e-05
