cellI,x,y,z,omega,k,nut
133,0.008375,0.000375,0.000125,39217.92019,10.9221077,0.0002784978816
134,0.008625,0.000375,0.000125,40143.65902,11.09510033,0.0002763848786
135,0.008875,0.000375,0.000125,41053.50067,11.26556795,0.0002744118715
136,0.009125,0.000375,0.000125,41947.17821,11.43338239,0.0002725661863
137,0.009375,0.000375,0.000125,42824.5062,11.59844213,0.0002708365644
138,0.009625,0.000375,0.000125,43685.36732,11.76066912,0.0002692130076
139,0.009875,0.000375,0.000125,44529.69138,11.9200046,0.0002676866654
140,0.010125,0.000375,0.000125,45357.45392,12.0764086,0.0002662497022
141,0.010375,0.000375,0.000125,46168.67957,12.22986001,0.0002648951654
142,0.010625,0.000375,0.000125,46963.44073,12.38035555,0.0002636168763
143,0.010875,0.000375,0.000125,47741.85353,12.52790827,0.0002624093399
144,0.011125,0.000375,0.000125,48504.07356,12.67254625,0.0002612676693
145,0.011375,0.000375,0.000125,49250.29345,12.81431115,0.0002601875086
146,0.011625,0.000375,0.000125,49980.74205,12.95325909,0.0002591650016
147,0.011875,0.000375,0.000125,50695.66759,13.08945243,0.0002581966675
148,0.012125,0.000375,0.000125,51395.3594,13.22296964,0.0002572794469
149,0.012375,0.000375,0.000125,52080.12498,13.3538962,0.0002564106019
150,0.012625,0.000375,0.000125,52750.28757,13.48232444,0.0002555876956
151,0.012875,0.000375,0.000125,53406.18507,13.60835314,0.0002548085606
152,0.013125,0.000375,0.000125,54048.1697,13.73208711,0.0002540712699
153,0.013375,0.000375,0.000125,54676.60904,13.85363704,0.0002533741079
154,0.013625,0.000375,0.000125,55291.88334,13.97311854,0.0002527155469
155,0.013875,0.000375,0.000125,55894.38165,14.09065098,0.0002520942279
156,0.014125,0.000375,0.000125,56484.4997,14.20635691,0.0002515089447
157,0.014375,0.000375,0.000125,57062.63936,14.32036161,0.0002509586267
158,0.014625,0.000375,0.000125,57629.20434,14.43279182,0.0002504423232
159,0.014875,0.000375,0.000125,58184.59336,14.54377413,0.0002499591953
160,0.015125,0.000375,0.000125,58729.19739,14.65343431,0.0002495085061
161,0.015375,0.000375,0.000125,59263.39941,14.76189703,0.0002490896097
162,0.015625,0.000375,0.000125,59787.57282,14.86928533,0.0002487019397
163,0.015875,0.000375,0.000125,60302.07853,14.97571982,0.0002483450022
164,0.016125,0.000375,0.000125,60807.26198,15.08131792,0.0002480183687
165,0.016375,0.000375,0.000125,61303.45027,15.18619311,0.0002477216706
166,0.016625,0.000375,0.000125,61790.94894,15.29045413,0.0002474545931
167,0.016875,0.000375,0.000125,62270.03843,15.39420407,0.0002472168712
168,0.017125,0.000375,0.000125,62740.97008,15.49753925,0.0002470082823
169,0.017375,0.000375,0.000125,63203.96255,15.60054841,0.0002468286447
170,0.017625,0.000375,0.000125,63659.19944,15.70331254,0.0002466778201
171,0.017875,0.000375,0.000125,64106.82699,15.80590482,0.000246555719
172,0.018125,0.000375,0.000125,64546.9295,15.9083861,0.0002464623216
173,0.018375,0.000375,0.000125,64979.49631,16.01079567,0.0002463976573
174,0.018625,0.000375,0.000125,65404.4613,16.11315772,0.0002463617527
175,0.018875,0.000375,0.000125,65821.67652,16.21547679,0.0002463546608
176,0.019125,0.000375,0.000125,66230.88697,16.31773294,0.0002463764821
177,0.019375,0.000375,0.000125,66631.71137,16.41987731,0.0002464273688
178,0.019625,0.000375,0.000125,67023.61905,16.52182665,0.000246507528
179,0.019875,0.000375,0.000125,67405.90014,16.62345625,0.0002466172281
180,0.020125,0.000375,0.000125,67777.62776,16.7245907,0.0002467568025
181,0.020375,0.000375,0.000125,68137.61394,16.82499329,0.0002469266579
182,0.020625,0.000375,0.000125,68484.34611,16.92435001,0.0002471272776
183,0.020875,0.000375,0.000125,68815.86605,17.02224257,0.0002473592726
184,0.021125,0.000375,0.000125,69129.47785,17.11808516,0.0002476235275
185,0.021375,0.000375,0.000125,69422.15945,17.21120451,0.0002479209038
186,0.021625,0.000375,0.000125,69689.69486,17.3006648,0.0002482528419
187,0.021875,0.000375,0.000125,69921.08885,17.38420978,0.0002486261308
188,0.022125,0.000375,0.000125,70109.20046,17.46031611,0.000249044576
189,0.022375,0.000375,0.000125,70277.8174,17.53348922,0.0002494882435
190,0.022625,0.000375,0.000125,70420.3979,17.60194202,0.0002499551628
191,0.022875,0.000375,0.000125,70528.45869,17.66327416,0.0002504418002
192,0.023125,0.000375,0.000125,70590.25591,17.71412282,0.0002509428899
193,0.023375,0.000375,0.000125,70588.69281,17.74941591,0.000251448429
194,0.023625,0.000375,0.000125,70498.53025,17.76157576,0.0002519424971
195,0.023875,0.000375,0.000125,70284.0977,17.74026491,0.0002524079485
196,0.024125,0.000375,0.000125,69886.33739,17.66693151,0.0002527952125
197,0.024375,0.000375,0.000125,69233.27452,17.52077413,0.0002530686907
198,0.024625,0.000375,0.000125,68227.18244,17.27751095,0.0002532350059
199,0.024875,0.000375,0.000125,66818.31111,16.93226903,0.0002534076176
200,0.000125,0.000625,0.000125,2500.757893,5.997844024,0.002398410515
201,0.000375,0.000625,0.000125,2586.790066,5.996778386,0.002318231566
202,0.000625,0.000625,0.000125,2695.909343,5.997013147,0.002224486207
203,0.000875,0.000625,0.000125,2822.360109,5.998578879,0.002125376865
204,0.001125,0.000625,0.000125,2962.316445,6.001486197,0.002025943652
205,0.001375,0.000625,0.000125,3113.07817,6.005727712,0.00192919271
206,0.001625,0.000625,0.000125,3272.684649,6.011283618,0.001836805028
207,0.001875,0.000625,0.000125,3439.703172,6.018130061,0.001749607382
208,0.002125,0.000625,0.000125,3613.058804,6.026240062,0.001667905337
209,0.002375,0.000625,0.000125,3791.947285,6.035585735,0.001591685032
210,0.002625,0.000625,0.000125,3975.747557,6.046137519,0.001520754885
211,0.002875,0.000625,0.000125,4163.977145,6.057857739,0.001454824925
212,0.003125,0.000625,0.000125,4356.234094,6.070699706,0.001393565996
213,0.003375,0.000625,0.000125,4552.190987,6.084631336,0.001336637973
214,0.003625,0.000625,0.000125,4751.600707,6.099619538,0.001283697834
215,0.003875,0.000625,0.000125,4954.244635,6.115628173,0.00123442192
216,0.004125,0.000625,0.000125,5159.924913,6.132619273,0.001188509402
217,0.004375,0.000625,0.000125,5368.462172,6.150553646,0.00114568259
218,0.004625,0.000625,0.000125,5579.689329,6.16939092,0.001105687173
219,0.004875,0.000625,0.000125,5793.45576,6.189091621,0.001068290132
220,0.005125,0.000625,0.000125,6009.62121,6.209622075,0.001033280112
221,0.005375,0.000625,0.000125,6228.038654,6.230941018,0.001000466016
222,0.005625,0.000625,0.000125,6448.569347,6.253007587,0.0009696736208
223,0.005875,0.000625,0.000125,6671.078178,6.275780739,0.000940744595
224,0.006125,0.000625,0.000125,6895.430146,6.299219286,0.0009135353637
225,0.006375,0.000625,0.000125,7121.489278,6.323281523,0.0008879156137
226,0.006625,0.000625,0.000125,7349.121577,6.347926631,0.0008637667189
