cellI,surfNorm_x,surfNorm_y,surfNorm_z,sigma,yOrtho,intCell0,intCell1,intCell2,intPoint0_x,intPoint0_y,intPoint0_z,intPoint1_x,intPoint1_y,intPoint1_z,intPoint2_x,intPoint2_y,intPoint2_z
20502,-8.526512829e-16,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20502,20102,19702,0.050625,0.01044849958,0.000125,0.050625,0.01019641745,0.000125,0.050625,0.009944335312,0.000125
20503,1.250555215e-15,-1,2.401292595e-30,-7.349958277e-05,7.349958277e-05,20503,20103,19703,0.050875,0.01044849958,0.000125,0.050875,0.01019641745,0.000125,0.050875,0.009944335312,0.000125
20504,-1.98951966e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20504,20104,19704,0.051125,0.01044849958,0.000125,0.051125,0.01019641745,0.000125,0.051125,0.009944335312,0.000125
20505,-3.467448551e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20505,20105,19705,0.051375,0.01044849958,0.000125,0.051375,0.01019641745,0.000125,0.051375,0.009944335312,0.000125
20506,5.030642569e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20506,20106,19706,0.051625,0.01044849958,0.000125,0.051625,0.01019641745,0.000125,0.051625,0.009944335312,0.000125
20507,-6.536993169e-15,-1,-2.255649151e-30,-7.349958277e-05,7.349958277e-05,20507,20107,19707,0.051875,0.01044849958,0.000125,0.051875,0.01019641745,0.000125,0.051875,0.009944335312,0.000125
20508,-7.901235222e-15,-1,-1.232595164e-32,-7.349958277e-05,7.349958277e-05,20508,20108,19708,0.052125,0.01044849958,0.000125,0.052125,0.01019641745,0.000125,0.052125,0.009944335312,0.000125
20509,-5.258016245e-15,-1,-2.255649151e-30,-7.349958277e-05,7.349958277e-05,20509,20109,19709,0.052375,0.01044849958,0.000125,0.052375,0.01019641745,0.000125,0.052375,0.009944335312,0.000125
20510,5.911715562e-15,-1,3.032184104e-30,-7.349958277e-05,7.349958277e-05,20510,20110,19710,0.052625,0.01044849958,0.000125,0.052625,0.01019641745,0.000125,0.052625,0.009944335312,0.000125
20511,-1.790567694e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20511,20111,19711,0.052875,0.01044849958,0.000125,0.052875,0.01019641745,0.000125,0.052875,0.009944335312,0.000125
20512,-6.195932656e-15,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20512,20112,19712,0.053125,0.01044849958,0.000125,0.053125,0.01019641745,0.000125,0.053125,0.009944335312,0.000125
20513,-1.111288839e-14,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20513,20113,19713,0.053375,0.01044849958,0.000125,0.053375,0.01019641745,0.000125,0.053375,0.009944335312,0.000125
20514,3.097966328e-15,-1,4.133631143e-31,-7.349958277e-05,7.349958277e-05,20514,20114,19714,0.053625,0.01044849958,0.000125,0.053625,0.01019641745,0.000125,0.053625,0.009944335312,0.000125
20515,9.634959497e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20515,20115,19715,0.053875,0.01044849958,0.000125,0.053875,0.01019641745,0.000125,0.053875,0.009944335312,0.000125
20516,-1.108446668e-15,-1,-1.626303259e-16,-7.349958277e-05,7.349958277e-05,20516,20116,19716,0.054125,0.01044849958,0.000125,0.054125,0.01019641745,0.000125,0.054125,0.009944335312,0.000125
20517,-1.534772309e-15,-1,-1.626303259e-16,-7.349958277e-05,7.349958277e-05,20517,20117,19717,0.054375,0.01044849958,0.000125,0.054375,0.01019641745,0.000125,0.054375,0.009944335312,0.000125
20518,-3.694822226e-15,-1,-4.149408361e-30,-7.349958277e-05,7.349958277e-05,20518,20118,19718,0.054625,0.01044849958,0.000125,0.054625,0.01019641745,0.000125,0.054625,0.009944335312,0.000125
20519,-8.725464795e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20519,20119,19719,0.054875,0.01044849958,0.000125,0.054875,0.01019641745,0.000125,0.054875,0.009944335312,0.000125
20520,-7.275957614e-15,-1,5.297989839e-30,-7.349958277e-05,7.349958277e-05,20520,20120,19720,0.055125,0.01044849958,0.000125,0.055125,0.01019641745,0.000125,0.055125,0.009944335312,0.000125
20521,-2.557953849e-16,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20521,20121,19721,0.055375,0.01044849958,0.000125,0.055375,0.01019641745,0.000125,0.055375,0.009944335312,0.000125
20522,1.108446668e-15,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20522,20122,19722,0.055625,0.01044849958,0.000125,0.055625,0.01019641745,0.000125,0.055625,0.009944335312,0.000125
20523,2.273736754e-16,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20523,20123,19723,0.055875,0.01044849958,0.000125,0.055875,0.01019641745,0.000125,0.055875,0.009944335312,0.000125
20524,-6.252776075e-16,-1,-4.517461278e-30,-7.349958277e-05,7.349958277e-05,20524,20124,19724,0.056125,0.01044849958,0.000125,0.056125,0.01019641745,0.000125,0.056125,0.009944335312,0.000125
20525,1.733724275e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20525,20125,19725,0.056375,0.01044849958,0.000125,0.056375,0.01019641745,0.000125,0.056375,0.009944335312,0.000125
20526,6.679101716e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20526,20126,19726,0.056625,0.01044849958,0.000125,0.056625,0.01019641745,0.000125,0.056625,0.009944335312,0.000125
20527,-5.030642569e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20527,20127,19727,0.056875,0.01044849958,0.000125,0.056875,0.01019641745,0.000125,0.056875,0.009944335312,0.000125
20528,-3.069544618e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20528,20128,19728,0.057125,0.01044849958,0.000125,0.057125,0.01019641745,0.000125,0.057125,0.009944335312,0.000125
20529,6.99174052e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20529,20129,19729,0.057375,0.01044849958,0.000125,0.057375,0.01019641745,0.000125,0.057375,0.009944335312,0.000125
20530,-8.753886505e-15,-1,-2.073126459e-30,-7.349958277e-05,7.349958277e-05,20530,20130,19730,0.057625,0.01044849958,0.000125,0.057625,0.01019641745,0.000125,0.057625,0.009944335312,0.000125
