cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
20444,(0.036125 0.010375 0.000125),(-6.167510946e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20444,(0.036125 0.01044849958 0.000125),20044,(0.036125 0.01019641745 0.000125),19644,(0.036125 0.009944335312 0.000125)
20445,(0.036375 0.010375 0.000125),(1.98951966e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20445,(0.036375 0.01044849958 0.000125),20045,(0.036375 0.01019641745 0.000125),19645,(0.036375 0.009944335312 0.000125)
20446,(0.036625 0.010375 0.000125),(-5.854872143e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20446,(0.036625 0.01044849958 0.000125),20046,(0.036625 0.01019641745 0.000125),19646,(0.036625 0.009944335312 0.000125)
20447,(0.036875 0.010375 0.000125),(-8.810729923e-16 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20447,(0.036875 0.01044849958 0.000125),20047,(0.036875 0.01019641745 0.000125),19647,(0.036875 0.009944335312 0.000125)
20448,(0.037125 0.010375 0.000125),(-0 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20448,(0.037125 0.01044849958 0.000125),20048,(0.037125 0.01019641745 0.000125),19648,(0.037125 0.009944335312 0.000125)
20449,(0.037375 0.010375 0.000125),(2.842170943e-17 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20449,(0.037375 0.01044849958 0.000125),20049,(0.037375 0.01019641745 0.000125),19649,(0.037375 0.009944335312 0.000125)
20450,(0.037625 0.010375 0.000125),(2.273736754e-16 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20450,(0.037625 0.01044849958 0.000125),20050,(0.037625 0.01019641745 0.000125),19650,(0.037625 0.009944335312 0.000125)
20451,(0.037875 0.010375 0.000125),(-3.950617611e-15 -1 2.168404345e-16),0.35821041,-7.349958277e-05,20451,(0.037875 0.01044849958 0.000125),20051,(0.037875 0.01019641745 0.000125),19651,(0.037875 0.009944335312 0.000125)
20452,(0.038125 0.010375 0.000125),(-1.335820343e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20452,(0.038125 0.01044849958 0.000125),20052,(0.038125 0.01019641745 0.000125),19652,(0.038125 0.009944335312 0.000125)
20453,(0.038375 0.010375 0.000125),(-5.940137271e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20453,(0.038375 0.01044849958 0.000125),20053,(0.038375 0.01019641745 0.000125),19653,(0.038375 0.009944335312 0.000125)
20454,(0.038625 0.010375 0.000125),(6.451728041e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20454,(0.038625 0.01044849958 0.000125),20054,(0.038625 0.01019641745 0.000125),19654,(0.038625 0.009944335312 0.000125)
20455,(0.038875 0.010375 0.000125),(2.813749234e-15 -1 2.168404345e-16),0.35821041,-7.349958277e-05,20455,(0.038875 0.01044849958 0.000125),20055,(0.038875 0.01019641745 0.000125),19655,(0.038875 0.009944335312 0.000125)
20456,(0.039125 0.010375 0.000125),(-1.108446668e-15 -1 2.168404345e-16),0.35821041,-7.349958277e-05,20456,(0.039125 0.01044849958 0.000125),20056,(0.039125 0.01019641745 0.000125),19656,(0.039125 0.009944335312 0.000125)
20457,(0.039375 0.010375 0.000125),(-3.950617611e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20457,(0.039375 0.01044849958 0.000125),20057,(0.039375 0.01019641745 0.000125),19657,(0.039375 0.009944335312 0.000125)
20458,(0.039625 0.010375 0.000125),(5.030642569e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20458,(0.039625 0.01044849958 0.000125),20058,(0.039625 0.01019641745 0.000125),19658,(0.039625 0.009944335312 0.000125)
20459,(0.039875 0.010375 0.000125),(8.952838471e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20459,(0.039875 0.01044849958 0.000125),20059,(0.039875 0.01019641745 0.000125),19659,(0.039875 0.009944335312 0.000125)
20460,(0.040125 0.010375 0.000125),(-2.47268872e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20460,(0.040125 0.01044849958 0.000125),20060,(0.040125 0.01019641745 0.000125),19660,(0.040125 0.009944335312 0.000125)
20461,(0.040375 0.010375 0.000125),(-1.335820343e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20461,(0.040375 0.01044849958 0.000125),20061,(0.040375 0.01019641745 0.000125),19661,(0.040375 0.009944335312 0.000125)
20462,(0.040625 0.010375 0.000125),(2.273736754e-16 -1 -2.839899259e-32),0.35821041,-7.349958277e-05,20462,(0.040625 0.01044849958 0.000125),20062,(0.040625 0.01019641745 0.000125),19662,(0.040625 0.009944335312 0.000125)
20463,(0.040875 0.010375 0.000125),(4.179989688e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20463,(0.040875 0.01044849958 0.000125),20063,(0.040875 0.01019641745 0.000125),19663,(0.040875 0.009944335312 0.000125)
20464,(0.041125 0.010375 0.000125),(-8.526512829e-17 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20464,(0.041125 0.01044849958 0.000125),20064,(0.041125 0.01019641745 0.000125),19664,(0.041125 0.009944335312 0.000125)
20465,(0.041375 0.010375 0.000125),(2.842170943e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20465,(0.041375 0.01044849958 0.000125),20065,(0.041375 0.01019641745 0.000125),19665,(0.041375 0.009944335312 0.000125)
20466,(0.041625 0.010375 0.000125),(-5.030642569e-15 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20466,(0.041625 0.01044849958 0.000125),20066,(0.041625 0.01019641745 0.000125),19666,(0.041625 0.009944335312 0.000125)
20467,(0.041875 0.010375 0.000125),(-5.911715562e-15 -1 -1.084202172e-16),0.35821041,-7.349958277e-05,20467,(0.041875 0.01044849958 0.000125),20067,(0.041875 0.01019641745 0.000125),19667,(0.041875 0.009944335312 0.000125)
20468,(0.042125 0.010375 0.000125),(3.353761713e-15 -1 -4.511298302e-30),0.35821041,-7.349958277e-05,20468,(0.042125 0.01044849958 0.000125),20068,(0.042125 0.01019641745 0.000125),19668,(0.042125 0.009944335312 0.000125)
20469,(0.042375 0.010375 0.000125),(8.810729923e-16 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20469,(0.042375 0.01044849958 0.000125),20069,(0.042375 0.01019641745 0.000125),19669,(0.042375 0.009944335312 0.000125)
20470,(0.042625 0.010375 0.000125),(4.348521543e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20470,(0.042625 0.01044849958 0.000125),20070,(0.042625 0.01019641745 0.000125),19670,(0.042625 0.009944335312 0.000125)
20471,(0.042875 0.010375 0.000125),(2.216893336e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20471,(0.042875 0.01044849958 0.000125),20071,(0.042875 0.01019641745 0.000125),19671,(0.042875 0.009944335312 0.000125)
20472,(0.043125 0.010375 0.000125),(-7.645439837e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20472,(0.043125 0.01044849958 0.000125),20072,(0.043125 0.01019641745 0.000125),19672,(0.043125 0.009944335312 0.000125)
20473,(0.043375 0.010375 0.000125),(1.961097951e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20473,(0.043375 0.01044849958 0.000125),20073,(0.043375 0.01019641745 0.000125),19673,(0.043375 0.009944335312 0.000125)
20474,(0.043625 0.010375 0.000125),(-0 -1 -2.255649151e-30),0.35821041,-7.349958277e-05,20474,(0.043625 0.01044849958 0.000125),20074,(0.043625 0.01019641745 0.000125),19674,(0.043625 0.009944335312 0.000125)
20475,(0.043875 0.010375 0.000125),(-3.893774192e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20475,(0.043875 0.01044849958 0.000125),20075,(0.043875 0.01019641745 0.000125),19675,(0.043875 0.009944335312 0.000125)
20476,(0.044125 0.010375 0.000125),(5.030642569e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20476,(0.044125 0.01044849958 0.000125),20076,(0.044125 0.01019641745 0.000125),19676,(0.044125 0.009944335312 0.000125)
20477,(0.044375 0.010375 0.000125),(2.756905815e-15 -1 2.710505431e-16),0.35821041,-7.349958277e-05,20477,(0.044375 0.01044849958 0.000125),20077,(0.044375 0.01019641745 0.000125),19677,(0.044375 0.009944335312 0.000125)
20478,(0.044625 0.010375 0.000125),(-7.048583939e-15 -1 2.710505431e-16),0.35821041,-7.349958277e-05,20478,(0.044625 0.01044849958 0.000125),20078,(0.044625 0.01019641745 0.000125),19678,(0.044625 0.009944335312 0.000125)
