cellI,x,y,z,S,omega,k,nut
3915,0.003875,0.01,0.000125,6.25e-08,224285.7848,26.29197507,2.016882945e-05
3916,0.004125,0.01,0.000125,6.25e-08,228982.7503,27.14406548,2.055862469e-05
3917,0.004375,0.01,0.000125,6.25e-08,233356.5932,27.9438072,2.092086224e-05
3918,0.004625,0.01,0.000125,6.25e-08,237425.0158,28.69297569,2.125717716e-05
3919,0.004875,0.01,0.000125,6.25e-08,241205.0508,29.39347017,2.156912132e-05
3920,0.005125,0.01,0.000125,6.25e-08,244713.0654,30.04727626,2.185816799e-05
3921,0.005375,0.01,0.000125,6.25e-08,247964.7662,30.65643458,2.212571585e-05
3922,0.005625,0.01,0.000125,6.25e-08,250975.2004,31.22301354,2.237309203e-05
3923,0.005875,0.01,0.000125,6.25e-08,253758.7558,31.74908605,2.260155476e-05
3924,0.006125,0.01,0.000125,6.25e-08,256329.1657,32.2367106,2.28122959e-05
3925,0.006375,0.01,0.000125,6.25e-08,258699.5183,32.68791615,2.30064436e-05
3926,0.006625,0.01,0.000125,6.25e-08,260882.2676,33.10468981,2.318506481e-05
3927,0.006875,0.01,0.000125,6.25e-08,262889.2444,33.48896681,2.334916756e-05
3928,0.007125,0.01,0.000125,6.25e-08,264731.6701,33.84262254,2.349970324e-05
3929,0.007375,0.01,0.000125,6.25e-08,266420.1721,34.16746675,2.363756889e-05
3930,0.007625,0.01,0.000125,6.25e-08,267964.8019,34.46523944,2.376360957e-05
3931,0.007875,0.01,0.000125,6.25e-08,269375.0554,34.73760824,2.387862071e-05
3932,0.008125,0.01,0.000125,6.25e-08,270659.8916,34.98616662,2.398335035e-05
3933,0.008375,0.01,0.000125,6.25e-08,271827.7516,35.21243291,2.407850121e-05
3934,0.008625,0.01,0.000125,6.25e-08,272886.5792,35.41785017,2.416473282e-05
3935,0.008875,0.01,0.000125,6.25e-08,273843.8416,35.60378694,2.424266365e-05
3936,0.009125,0.01,0.000125,6.25e-08,274706.5523,35.77153881,2.431287335e-05
3937,0.009375,0.01,0.000125,6.25e-08,275481.2933,35.92233014,2.437590476e-05
3938,0.009625,0.01,0.000125,6.25e-08,276174.2345,36.05731595,2.443226587e-05
3939,0.009875,0.01,0.000125,6.25e-08,276791.1547,36.17758408,2.448243167e-05
3940,0.010125,0.01,0.000125,6.25e-08,277337.4626,36.28415786,2.452684605e-05
3941,0.010375,0.01,0.000125,6.25e-08,277818.2176,36.37799888,2.456592372e-05
3942,0.010625,0.01,0.000125,6.25e-08,278238.1498,36.46000976,2.460005184e-05
3943,0.010875,0.01,0.000125,6.25e-08,278601.6779,36.53103685,2.462959177e-05
3944,0.011125,0.01,0.000125,6.25e-08,278912.9279,36.591873,2.465488052e-05
3945,0.011375,0.01,0.000125,6.25e-08,279175.7501,36.64326027,2.467623234e-05
3946,0.011625,0.01,0.000125,6.25e-08,279393.736,36.68589266,2.469394009e-05
3947,0.011875,0.01,0.000125,6.25e-08,279570.2339,36.72041874,2.470827659e-05
3948,0.012125,0.01,0.000125,6.25e-08,279708.3643,36.74744425,2.471949596e-05
3949,0.012375,0.01,0.000125,6.25e-08,279811.0339,36.76753451,2.472783474e-05
3950,0.012625,0.01,0.000125,6.25e-08,279880.9499,36.7812169,2.47335131e-05
3951,0.012875,0.01,0.000125,6.25e-08,279920.6327,36.78898322,2.473673595e-05
3952,0.013125,0.01,0.000125,6.25e-08,279932.4294,36.79129199,2.473769401e-05
3953,0.013375,0.01,0.000125,6.25e-08,279918.5243,36.78857056,2.473656471e-05
3954,0.013625,0.01,0.000125,6.25e-08,279880.9505,36.78121702,2.473351315e-05
3955,0.013875,0.01,0.000125,6.25e-08,279821.5995,36.76960211,2.472869285e-05
3956,0.014125,0.01,0.000125,6.25e-08,279742.2311,36.75407102,2.472224664e-05
3957,0.014375,0.01,0.000125,6.25e-08,279644.4822,36.73494506,2.471430734e-05
3958,0.014625,0.01,0.000125,6.25e-08,279529.8755,36.71252332,2.470499846e-05
3959,0.014875,0.01,0.000125,6.25e-08,279399.8276,36.68708416,2.469443491e-05
3960,0.015125,0.01,0.000125,6.25e-08,279255.6573,36.65888682,2.468272364e-05
3961,0.015375,0.01,0.000125,6.25e-08,279098.5931,36.62817287,2.466996428e-05
3962,0.015625,0.01,0.000125,6.25e-08,278929.7804,36.59516757,2.465624969e-05
3963,0.015875,0.01,0.000125,6.25e-08,278750.2879,36.56008112,2.464166654e-05
3964,0.016125,0.01,0.000125,6.25e-08,278561.1142,36.52310996,2.46262958e-05
3965,0.016375,0.01,0.000125,6.25e-08,278363.1938,36.48443788,2.461021323e-05
3966,0.016625,0.01,0.000125,6.25e-08,278157.403,36.44423723,2.459348991e-05
3967,0.016875,0.01,0.000125,6.25e-08,277944.5657,36.40266997,2.457619265e-05
3968,0.017125,0.01,0.000125,6.25e-08,277725.4589,36.35988881,2.455838446e-05
3969,0.017375,0.01,0.000125,6.25e-08,277500.8182,36.31603828,2.454012501e-05
3970,0.017625,0.01,0.000125,6.25e-08,277271.3432,36.27125573,2.452147108e-05
3971,0.017875,0.01,0.000125,6.25e-08,277037.703,36.22567245,2.450247695e-05
3972,0.018125,0.01,0.000125,6.25e-08,276800.5414,36.17941469,2.448319488e-05
3973,0.018375,0.01,0.000125,6.25e-08,276560.4833,36.13260482,2.446367561e-05
3974,0.018625,0.01,0.000125,6.25e-08,276318.1428,36.08536309,2.444396901e-05
3975,0.018875,0.01,0.000125,6.25e-08,276074.1316,36.03780906,2.442412479e-05
3976,0.019125,0.01,0.000125,6.25e-08,275829.0647,35.99006285,2.440419292e-05
3977,0.019375,0.01,0.000125,6.25e-08,275583.568,35.94224653,2.438422429e-05
3978,0.019625,0.01,0.000125,6.25e-08,275338.2881,35.89448612,2.43642715e-05
3979,0.019875,0.01,0.000125,6.25e-08,275093.9046,35.84691384,2.434438983e-05
3980,0.020125,0.01,0.000125,6.25e-08,274851.1429,35.79967073,2.432463833e-05
3981,0.020375,0.01,0.000125,6.25e-08,274610.79,35.75290967,2.430508107e-05
3982,0.020625,0.01,0.000125,6.25e-08,274373.7136,35.70679896,2.428578871e-05
3983,0.020875,0.01,0.000125,6.25e-08,274140.8833,35.66152666,2.426684024e-05
3984,0.021125,0.01,0.000125,6.25e-08,273913.4024,35.61730653,2.424832555e-05
3985,0.021375,0.01,0.000125,6.25e-08,273692.5496,35.57438621,2.423034882e-05
3986,0.021625,0.01,0.000125,6.25e-08,273479.8219,35.53305556,2.421303207e-05
3987,0.021875,0.01,0.000125,6.25e-08,273276.9946,35.49365814,2.419651996e-05
3988,0.022125,0.01,0.000125,6.25e-08,273086.0922,35.45658572,2.418097752e-05
3989,0.022375,0.01,0.000125,6.25e-08,272900.7141,35.42059415,2.416588371e-05
3990,0.022625,0.01,0.000125,6.25e-08,272709.5638,35.38349025,2.415031886e-05
3991,0.022875,0.01,0.000125,6.25e-08,272511.4185,35.3450375,2.413418325e-05
3992,0.023125,0.01,0.000125,6.25e-08,272306.7693,35.30533216,2.411751675e-05
3993,0.023375,0.01,0.000125,6.25e-08,272093.5092,35.26396652,2.410014763e-05
3994,0.023625,0.01,0.000125,6.25e-08,271867.1831,35.2200781,2.408171281e-05
3995,0.023875,0.01,0.000125,6.25e-08,271619.0084,35.17196663,2.406149657e-05
3996,0.024125,0.01,0.000125,6.25e-08,271330.1615,35.11598851,2.403796478e-05
3997,0.024375,0.01,0.000125,6.25e-08,270969.7363,35.04616607,2.400859803e-05
3998,0.024625,0.01,0.000125,6.25e-08,270427.8701,34.94125195,2.396444028e-05
3999,0.024875,0.01,0.000125,6.25e-08,269669.304,34.79449766,2.390260782e-05
39900,0.125125,0.01,0.000125,6.25e-08,354344.5417,51.8519663,3.070715988e-05
39901,0.125375,0.01,0.000125,6.25e-08,344968.0581,49.90957269,2.99624525e-05
39902,0.125625,0.01,0.000125,6.25e-08,333425.9727,47.53308327,2.904296697e-05
39903,0.125875,0.01,0.000125,6.25e-08,321249.142,45.04553028,2.806946527e-05
39904,0.126125,0.01,0.000125,6.25e-08,309558.3077,42.67863755,2.713133996e-05
39905,0.126375,0.01,0.000125,6.25e-08,298542.632,40.46980948,2.624413523e-05
39906,0.126625,0.01,0.000125,6.25e-08,288306.2439,38.43771413,2.541673695e-05
39907,0.126875,0.01,0.000125,6.25e-08,278958.1941,36.60072241,2.465854798e-05
39908,0.127125,0.01,0.000125,6.25e-08,270567.095,34.96820155,2.397578032e-05
39909,0.127375,0.01,0.000125,6.25e-08,263125.5277,33.53427453,2.33684733e-05
39910,0.127625,0.01,0.000125,6.25e-08,256592.4909,32.2867634,2.283386864e-05
39911,0.127875,0.01,0.000125,6.25e-08,251024.9545,31.23239836,2.237717526e-05
39912,0.128125,0.01,0.000125,6.25e-08,246476.086,30.37718388,2.200327175e-05
39913,0.128375,0.01,0.000125,6.25e-08,242839.9475,29.69773378,2.17038833e-05
39914,0.128625,0.01,0.000125,6.25e-08,239998.9711,29.16950971,2.146964584e-05
39915,0.128875,0.01,0.000125,6.25e-08,237829.0557,28.7676484,2.129054517e-05
39916,0.129125,0.01,0.000125,6.25e-08,236231.6229,28.4727035,2.11585887e-05
39917,0.129375,0.01,0.000125,6.25e-08,235106.0488,28.26534169,2.106555511e-05
39918,0.129625,0.01,0.000125,6.25e-08,234363.7002,28.12879062,2.100417168e-05
39919,0.129875,0.01,0.000125,6.25e-08,233919.2502,28.04711671,2.096741132e-05
39920,0.130125,0.01,0.000125,6.25e-08,233710.6646,28.00880698,2.095015675e-05
