cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
137,0.009375,0.000375,0.000125,7.764897021,-1.27871014,-0,7.693939253,-0,7.738047987
138,0.009625,0.000375,0.000125,7.874238399,-1.335503105,-0,7.800884504,-0,7.846215337
139,0.009875,0.000375,0.000125,7.981658559,-1.393075329,-0,7.905894826,-0,7.952455814
140,0.010125,0.000375,0.000125,8.087123908,-1.45142303,-0,8.008953997,-0,8.056739295
141,0.010375,0.000375,0.000125,8.190616793,-1.510533882,-0,8.110053248,-0,8.159049979
142,0.010625,0.000375,0.000125,8.292133737,-1.570383572,-0,8.209192456,-0,8.259384907
143,0.010875,0.000375,0.000125,8.391681957,-1.630944351,-0,8.306382505,-0,8.357752078
144,0.011125,0.000375,0.000125,8.489278847,-1.692192913,-0,8.401644104,-0,8.454169549
145,0.011375,0.000375,0.000125,8.584949961,-1.754088239,-0,8.495007377,-0,8.548664962
146,0.011625,0.000375,0.000125,8.678732433,-1.816671025,-0,8.58650946,-0,8.641276286
147,0.011875,0.000375,0.000125,8.770665796,-1.879768374,-0,8.676193353,-0,8.73204571
148,0.012125,0.000375,0.000125,8.860803243,-1.943500935,-0,8.764113162,-0,8.821022875
149,0.012375,0.000375,0.000125,8.949199099,-2.007797603,-0,8.850328835,-0,8.908264466
150,0.012625,0.000375,0.000125,9.035908638,-2.072631245,-0,8.934909948,-0,8.993830294
151,0.012875,0.000375,0.000125,9.120993033,-2.137982066,-0,9.017927186,-0,9.077786061
152,0.013125,0.000375,0.000125,9.204522014,-2.203834426,-0,9.099447303,-0,9.160204903
153,0.013375,0.000375,0.000125,9.286570597,-2.270172124,-0,9.179540787,-0,9.241162696
154,0.013625,0.000375,0.000125,9.367215592,-2.336977269,-0,9.258285373,-0,9.320736116
155,0.013875,0.000375,0.000125,9.446535116,-2.404232168,-0,9.335762299,-0,9.399004545
156,0.014125,0.000375,0.000125,9.524611397,-2.471924137,-0,9.412050238,-0,9.476052186
157,0.014375,0.000375,0.000125,9.6015283,-2.540041014,-0,9.48723152,-0,9.5519634
158,0.014625,0.000375,0.000125,9.677366055,-2.608566458,-0,9.561398326,-0,9.626819259
159,0.014875,0.000375,0.000125,9.752201434,-2.677486017,-0,9.634645715,-0,9.700701111
160,0.015125,0.000375,0.000125,9.82611053,-2.746789945,-0,9.70706564,-0,9.77369245
161,0.015375,0.000375,0.000125,9.899169747,-2.816467713,-0,9.778747279,-0,9.845877035
162,0.015625,0.000375,0.000125,9.971454529,-2.886506618,-0,9.849778968,-0,9.917337163
163,0.015875,0.000375,0.000125,10.04303765,-2.956893648,-0,9.92024883,-0,9.988153164
164,0.016125,0.000375,0.000125,10.1139882,-3.027616164,-0,9.990244476,-0,10.05840316
165,0.016375,0.000375,0.000125,10.18437095,-3.098660942,-0,10.05985262,-0,10.12816264
166,0.016625,0.000375,0.000125,10.25424559,-3.170013295,-0,10.12915877,-0,10.1975039
167,0.016875,0.000375,0.000125,10.32366585,-3.241657513,-0,10.19824683,-0,10.26649547
168,0.017125,0.000375,0.000125,10.39267822,-3.313570481,-0,10.26719871,-0,10.33520157
