cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
261,0.015375,0.000625,0.000125,4.899079971,-0.9976227409,-0,4.886610295,-0,4.892434658
262,0.015625,0.000625,0.000125,4.91837085,-1.022845925,-0,4.90512102,-0,4.91149871
263,0.015875,0.000625,0.000125,4.937627341,-1.048185003,-0,4.923596438,-0,4.930589276
264,0.016125,0.000625,0.000125,4.956851755,-1.073630286,-0,4.942034911,-0,4.94971834
265,0.016375,0.000625,0.000125,4.976044656,-1.099167882,-0,4.96043598,-0,4.96889799
266,0.016625,0.000625,0.000125,4.995206691,-1.124776092,-0,4.978797218,-0,4.988141077
267,0.016875,0.000625,0.000125,5.014336358,-1.150427905,-0,4.997115359,-0,5.007461541
268,0.017125,0.000625,0.000125,5.033432101,-1.176085918,-0,5.015384827,-0,5.026872864
269,0.017375,0.000625,0.000125,5.052486911,-1.201700049,-0,5.033600891,-0,5.046389232
270,0.017625,0.000625,0.000125,5.071474887,-1.227195318,-0,5.051778715,-0,5.066018011
271,0.017875,0.000625,0.000125,5.090379426,-1.252484037,-0,5.069909367,-0,5.085775191
272,0.018125,0.000625,0.000125,5.109141829,-1.277413292,-0,5.088058568,-0,5.1056367
273,0.018375,0.000625,0.000125,5.127138099,-1.302123643,-0,5.107416165,-0,5.12501447
274,0.018625,0.000625,0.000125,5.143938108,-1.327208965,-0,5.128776544,-0,5.143519204
275,0.018875,0.000625,0.000125,5.160269306,-1.352107339,-0,5.150580991,-0,5.161937846
276,0.019125,0.000625,0.000125,5.17603163,-1.376596571,-0,5.172893712,-0,5.180241756
277,0.019375,0.000625,0.000125,5.191105969,-1.400550817,-0,5.195787338,-0,5.198391477
278,0.019625,0.000625,0.000125,5.205346431,-1.423837206,-0,5.219344414,-0,5.216338768
279,0.019875,0.000625,0.000125,5.218565942,-1.446272824,-0,5.243677274,-0,5.23401454
280,0.020125,0.000625,0.000125,5.230552096,-1.467697845,-0,5.268893445,-0,5.251342517
281,0.020375,0.000625,0.000125,5.240978372,-1.487997473,-0,5.295256266,-0,5.268161475
282,0.020625,0.000625,0.000125,5.249523029,-1.507198102,-0,5.322939921,-0,5.284346881
283,0.020875,0.000625,0.000125,5.255876151,-1.52447131,-0,5.352011396,-0,5.299785546
284,0.021125,0.000625,0.000125,5.259685222,-1.53923471,-0,5.38249118,-0,5.314354904
285,0.021375,0.000625,0.000125,5.260437081,-1.550033804,-0,5.414523926,-0,5.32782784
